ID OMM station;Date;Pression au niveau mer;Variation de pression en 3 heures;Type de tendance barométrique;Direction du vent moyen 10 mn;Vitesse du vent moyen 10 mn;Température;Point de rosée;Humidité;Visibilité horizontale;Temps présent;Temps passé 1;Temps passé 2;Nebulosité totale;Nébulosité  des nuages de l' étage inférieur;Hauteur de la base des nuages de l'étage inférieur;Type des nuages de l'étage inférieur;Type des nuages de l'étage moyen;Type des nuages de l'étage supérieur;Pression station;Niveau barométrique;Géopotentiel;Variation de pression en 24 heures;Température minimale sur 12 heures;Température minimale sur 24 heures;Température maximale sur 12 heures;Température maximale sur 24 heures;Température minimale du sol sur 12 heures;Méthode de mesure Température du thermomètre mouillé;Température du thermomètre mouillé;Rafale sur les 10 dernières minutes;Rafales sur une période;Periode de mesure de la rafale;Etat du sol;Hauteur totale de la couche de neige, glace, autre au sol;Hauteur de la neige fraîche;Periode de mesure de la neige fraiche;Précipitations dans la dernière heure;Précipitations dans les 3 dernières heures;Précipitations dans les 6 dernières heures;Précipitations dans les 12 dernières heures;Précipitations dans les 24 dernières heures;Phénomène spécial 1;Phénomène spécial 2;Phénomène spécial 3;Phénomène spécial 4;Nébulosité couche nuageuse 1;Type nuage 1;Hauteur de base 1;Nébulosité couche nuageuse 2;Type nuage 2;Hauteur de base 2;Nébulosité couche nuageuse 3;Type nuage 3;Hauteur de base 3;Nébulosité couche nuageuse 4;Type nuage 4;Hauteur de base 4;Coordonnees;Nom;Type de tendance barométrique;Temps passé 1;Temps présent;Température (°C);Température minimale sur 12 heures (°C);Température minimale sur 24 heures (°C);Température maximale sur 12 heures (°C);Température maximale sur 24 heures (°C);Température minimale du sol sur 12 heures (en °C);Latitude;Longitude;Altitude;communes (name);communes (code);EPCI (name);EPCI (code);department (name);department (code);region (name);region (code);mois_de_l_annee
07690;2024-12-19T16:00:00+01:00;100920;-290.0;8;320;3.2;287.05;280.75;66;40000.0;1;1;1;50.0;1;;35;23;;100610.0;;;-1610.0;;;;;281.55;;;5.0;6.5;-10.0;0;0.0;;;0.0;0.0;0.6;0.6;0.6;;;;;1.0;6;1200.0;4.0;3;3000.0;;;;;;;43.648833, 7.209;NICE;Stationnaire ou en hausse, puis en baisse, ou en baisse, puis en baisse plus rapide;Nuages couvrant plus de la moitié du ciel pendant une partie de la période considérée et couvrant la moitié du ciel, ou moins, pendant l’autre partie;Dans l’ensemble, nuages se dissipant ou devenant moins épais;13.900000000000034;;;;;8.400000000000034;43.648833;7.209;2;Nice;06088;Métropole Nice Côte d'Azur;200030195;Alpes-Maritimes;06;Provence-Alpes-Côte d'Azur;93;12
07690;2024-12-18T07:00:00+01:00;102820;-70.0;6;320;7.3;281.25;275.25;66;30000.0;2;2;2;100.0;7;1250.0;35;;;102500.0;;;-460.0;280.75;;282.75;;280.05;;;10.2;10.2;-10.0;0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;;;7.0;6;1200.0;;;;;;;;;;43.648833, 7.209;NICE;En baisse, puis stationnaire, ou en baisse, puis en baisse plus lente;Nuages couvrant plus de la moitié du ciel pendant toute la période considérée;État du ciel inchangé dans l’ensemble;8.100000000000023;7.600000000000023;;9.600000000000023;;6.900000000000034;43.648833;7.209;2;Nice;06088;Métropole Nice Côte d'Azur;200030195;Alpes-Maritimes;06;Provence-Alpes-Côte d'Azur;93;12
07690;2024-10-11T02:00:00+02:00;100680;130.0;1;340;4.1;289.05;281.25;60;40000.0;2;0;0;10.0;1;800.0;35;20;10;100370.0;;;750.0;;;;;287.05;;;5.7;5.7;-10.0;0;0.0;;;0.0;0.0;0.0;0.0;-0.1;;;;;1.0;6;750.0;;;;;;;;;;43.648833, 7.209;NICE;En hausse, puis stationnaire, ou en hausse, puis en hausse plus lente;Nuages ne couvrant pas plus de la moitié du ciel pendant toute la période considérée;État du ciel inchangé dans l’ensemble;15.900000000000034;;;;;13.900000000000034;43.648833;7.209;2;Nice;06088;Métropole Nice Côte d'Azur;200030195;Alpes-Maritimes;06;Provence-Alpes-Côte d'Azur;93;10
07690;2024-10-11T05:00:00+02:00;100780;100.0;3;340;5.0;288.35;279.65;56;40000.0;3;0;0;40.0;3;800.0;35;20;10;100470.0;;;1010.0;;;;;286.35;;;7.1;7.1;-10.0;0;0.0;;;0.0;0.0;0.0;0.0;-0.1;;;;;3.0;6;840.0;;;;;;;;;;43.648833, 7.209;NICE;En baisse ou stationnaire, puis en hausse, ou en hausse, puis en hausse plus rapide;Nuages ne couvrant pas plus de la moitié du ciel pendant toute la période considérée;Nuages en formation ou en train de se développer;15.200000000000045;;;;;13.200000000000045;43.648833;7.209;2;Nice;06088;Métropole Nice Côte d'Azur;200030195;Alpes-Maritimes;06;Provence-Alpes-Côte d'Azur;93;10
07690;2024-10-20T08:00:00+02:00;101850;130.0;3;330;3.8;290.65;285.75;73;50000.0;3;2;2;90.0;7;;30;27;;101540.0;;;260.0;290.05;;292.65;;289.05;;;5.3;6.8;-10.0;0;0.0;;;0.0;0.0;0.0;-0.1;-0.1;;;;;7.0;3;2800.0;;;;;;;;;;43.648833, 7.209;NICE;En baisse ou stationnaire, puis en hausse, ou en hausse, puis en hausse plus rapide;Nuages couvrant plus de la moitié du ciel pendant toute la période considérée;Nuages en formation ou en train de se développer;17.5;16.900000000000034;;19.5;;15.900000000000034;43.648833;7.209;2;Nice;06088;Métropole Nice Côte d'Azur;200030195;Alpes-Maritimes;06;Provence-Alpes-Côte d'Azur;93;10
07690;2024-10-21T02:00:00+02:00;102520;40.0;1;330;4.7;291.75;287.05;74;50000.0;3;0;0;25.0;2;;30;23;10;102210.0;;;830.0;;;;;289.95;;;6.0;7.4;-10.0;0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;;;2.0;3;3100.0;;;;;;;;;;43.648833, 7.209;NICE;En hausse, puis stationnaire, ou en hausse, puis en hausse plus lente;Nuages ne couvrant pas plus de la moitié du ciel pendant toute la période considérée;Nuages en formation ou en train de se développer;18.600000000000023;;;;;16.80000000000001;43.648833;7.209;2;Nice;06088;Métropole Nice Côte d'Azur;200030195;Alpes-Maritimes;06;Provence-Alpes-Côte d'Azur;93;10
07690;2024-10-25T05:00:00+02:00;102250;-110.0;8;50;2.9;289.95;288.95;94;30000.0;29;9;8;100.0;7;;39;;;101940.0;;;-380.0;;;;;289.45;;;4.7;5.8;-10.0;2;0.0;;;0.4;26.5;28.5;28.5;28.7;;;;;4.0;6;1200.0;6.0;6;1900.0;1.0;9;1400.0;;;;43.648833, 7.209;NICE;Stationnaire ou en hausse, puis en baisse, ou en baisse, puis en baisse plus rapide;Orage(s) avec ou sans précipitations;Orage (avec ou sans précipitations);16.80000000000001;;;;;16.30000000000001;43.648833;7.209;2;Nice;06088;Métropole Nice Côte d'Azur;200030195;Alpes-Maritimes;06;Provence-Alpes-Côte d'Azur;93;10
07690;2024-10-17T05:00:00+02:00;101690;-80.0;5;320;3.2;291.85;289.85;88;40000.0;3;1;1;75.0;2;450.0;35;27;10;101380.0;;;-70.0;;;;;291.05;;;5.2;5.2;-10.0;0;0.0;;;0.0;0.0;-0.1;-0.1;4.6;;;;;1.0;6;550.0;2.0;6;1000.0;5.0;3;2900.0;;;;43.648833, 7.209;NICE;En baisse, puis en hausse, la pression atmosphérique est la même ou plus basse que trois heures auparavant;Nuages couvrant plus de la moitié du ciel pendant une partie de la période considérée et couvrant la moitié du ciel, ou moins, pendant l’autre partie;Nuages en formation ou en train de se développer;18.700000000000045;;;;;17.900000000000034;43.648833;7.209;2;Nice;06088;Métropole Nice Côte d'Azur;200030195;Alpes-Maritimes;06;Provence-Alpes-Côte d'Azur;93;10
07690;2024-06-21T23:00:00+02:00;101350;50.0;3;320;2.4;295.05;292.05;83;30000.0;2;0;0;0.0;0;;30;20;10;101050.0;;;-210.0;;;;;292.55;;;3.0;3.1;-10.0;0;0.0;;;0.0;0.0;0.0;0.0;1.4;;;;;;;;;;;;;;;;;43.648833, 7.209;NICE;En baisse ou stationnaire, puis en hausse, ou en hausse, puis en hausse plus rapide;Nuages ne couvrant pas plus de la moitié du ciel pendant toute la période considérée;État du ciel inchangé dans l’ensemble;21.900000000000034;;;;;19.400000000000034;43.648833;7.209;2;Nice;06088;Métropole Nice Côte d'Azur;200030195;Alpes-Maritimes;06;Provence-Alpes-Côte d'Azur;93;6
07690;2024-07-05T20:00:00+02:00;101450;-70.0;6;100;1.2;296.75;292.65;78;20000.0;1;1;1;50.0;1;800.0;38;20;11;101150.0;;;300.0;296.25;;298.95;;301.55;;;2.1;2.6;-10.0;0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;;;1.0;8;600.0;1.0;6;900.0;4.0;0;8000.0;;;;43.648833, 7.209;NICE;En baisse, puis stationnaire, ou en baisse, puis en baisse plus lente;Nuages couvrant plus de la moitié du ciel pendant une partie de la période considérée et couvrant la moitié du ciel, ou moins, pendant l’autre partie;Dans l’ensemble, nuages se dissipant ou devenant moins épais;23.600000000000023;23.100000000000023;;25.80000000000001;;28.400000000000034;43.648833;7.209;2;Nice;06088;Métropole Nice Côte d'Azur;200030195;Alpes-Maritimes;06;Provence-Alpes-Côte d'Azur;93;7
07690;2024-09-05T02:00:00+02:00;100820;-90.0;6;310;8.7;291.85;289.85;88;1040.0;97;9;9;100.0;7;;39;;;100520.0;;;-630.0;;;;;291.25;;;12.2;13.5;-10.0;2;0.0;;;13.3;14.5;17.4;17.8;19.8;;;;;1.0;6;500.0;7.0;6;1300.0;5.0;9;1000.0;;;;43.648833, 7.209;NICE;En baisse, puis stationnaire, ou en baisse, puis en baisse plus lente;Orage(s) avec ou sans précipitations;Orage fort, sans grêle*, mais avec pluie ou neige ou pluie et neige mêlées au moment de l’observation;18.700000000000045;;;;;18.100000000000023;43.648833;7.209;2;Nice;06088;Métropole Nice Côte d'Azur;200030195;Alpes-Maritimes;06;Provence-Alpes-Côte d'Azur;93;9
07690;2024-12-25T22:00:00+01:00;102820;-40.0;7;340;5.2;281.45;266.85;35;50000.0;2;0;0;0.0;0;;30;20;10;102500.0;;;580.0;;;;;279.25;;;7.3;10.0;-10.0;0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;43.648833, 7.209;NICE;En baisse;Nuages ne couvrant pas plus de la moitié du ciel pendant toute la période considérée;État du ciel inchangé dans l’ensemble;8.300000000000011;;;;;6.100000000000023;43.648833;7.209;2;Nice;06088;Métropole Nice Côte d'Azur;200030195;Alpes-Maritimes;06;Provence-Alpes-Côte d'Azur;93;12
07690;2024-12-26T07:00:00+01:00;102920;30.0;3;330;7.6;278.85;265.95;39;50000.0;2;0;0;0.0;0;;30;20;10;102590.0;;;350.0;278.75;;281.85;;277.25;;;10.3;10.3;-10.0;0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;43.648833, 7.209;NICE;En baisse ou stationnaire, puis en hausse, ou en hausse, puis en hausse plus rapide;Nuages ne couvrant pas plus de la moitié du ciel pendant toute la période considérée;État du ciel inchangé dans l’ensemble;5.7000000000000455;5.600000000000023;;8.700000000000045;;4.100000000000023;43.648833;7.209;2;Nice;06088;Métropole Nice Côte d'Azur;200030195;Alpes-Maritimes;06;Provence-Alpes-Côte d'Azur;93;12
